Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
COP9 signalosome complex subunit 2	Cops2	P61202-2;P61202;A2AQE4	0.740641779	0.917818154
Mevalonate kinase	Mvk	Q3UEB4;Q9R008;D3YV77	0.741146716	0.917818154
Ubiquitin-associated protein 2-like	Ubap2l	Q80X50-2;Q80X50;Q80X50-4;Q80X50-5;E9Q9Q3;Q80X50-3;E9PZA1	0.741666084	0.917818154
Vigilin	Hdlbp	Q8VDJ3	0.742152943	0.917818154
Heat shock 70 kDa protein 12B	Hspa12b	Q9CZJ2	0.742697263	0.917818154
Tubulin-folding cofactor B	Tbcb	Q9D1E6	0.740825444	0.917818154
Prolyl 3-hydroxylase 1	Lepre1	A2A7Q5;A6PW84;Q3V1T4;Q3V1T4-3;E9QNM0;Q3V1T4-2;F2Z499	0.567721031	0.91814377
Cyclin-dependent kinase 11B	Cdk11b	P24788;A2A9P6;P24788-2;Q64434	0.514119102	0.91814377
UPF0485 protein C1orf144 homolog	D4Ertd22e	Q6NXN1;A2AA85;Q6NXN1-2;A2AA86	0.802818449	0.91814377
Phosphorylase b kinase regulatory subunit alpha, liver isoform	Phka2	Q8BWJ3;A2AHQ7;Q6PE66;A2AHQ8	0.591074382	0.91814377
Kinesin-like protein KIF17	Kif17	Q99PW8;A2AM72;A2AM74;Q3V365;O35057	0.740256491	0.91814377
GDP-fucose protein O-fucosyltransferase 1	Pofut1	Q91ZW2;Q3UXG7;A2AMC3;E9Q686;E9PZ15	0.616716438	0.91814377
Copper-transporting ATPase 2	Atp7b	Q64446;B1AQ57;A2AG68;Q64430	0.811322188	0.91814377
Protein misato homolog 1	Msto1	D3YX87;E9PUB7;Q2YDW2;Q2YDW2-2	0.562428734	0.91814377
RalBP1-associated Eps domain-containing protein 1	Reps1	O54916;E9Q632;F6R6F1;O54916-4;O54916-3;D3Z2E3;D6RIN6;F6YT69;O54916-2	0.744384704	0.91814377
	Klc1	Q8CD76;D3Z5T6;Q7TNF4;E9Q7C9;E9QKS0;E9QM07;Q5UE59	0.636632085	0.91814377
Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	Gm20498;Cox16	E9PVN6;Q9CR63	0.756757943	0.91814377
Ecotropic viral integration site 5 protein	Evi5	F8VPT6;P97366;E9QLA9;E9PWR7;Q3UYX4;Q3TMK4;E9Q9B1;E9Q8R0;E9Q7X9;Q3TRC2	0.643247236	0.91814377
Protein unc-93 homolog B1	Unc93b1	E9PYK0;Q8VCW4;E9Q8P6;Q8VCW4-2	0.678983216	0.91814377
RNA-binding protein 26	Rbm26	Q6NZN0;E9PYZ7;Q6NZN0-2;Q6NZN0-4;Q6NZN0-3;E9Q640;Q6NZN0-5;E9PUF4	0.731783077	0.91814377
	Nolc1	E9Q5C9;E9PVC9	0.529896235	0.91814377
CUGBP Elav-like family member 2	Celf2	Q9Z0H4-9;Q9Z0H4-6;Q9Z0H4-2;Q9Z0H4-8;Q9Z0H4;F6V6I8;Q9Z0H4-4;Q9Z0H4-5;Q9Z0H4-7;E9QA47;Q9Z0H4-11;A3KGT2;A3KGT0	0.585634204	0.91814377
	Psmd11	F6Z0Q9	0.59370964	0.91814377
Hepatocyte growth factor receptor	Met	F8VQL0;P16056;F6X333;D3YVY2	0.718490181	0.91814377
Poly(ADP-ribose) glycohydrolase	Parg	O88622;G3X8U8;O88622-2;A5YBK2;E9Q088;E9Q954	0.68769454	0.91814377
Unconventional myosin-Vb	Myo5b	G3X9Y9;P21271-3;G5E8G6;P21271;D3YVV2;F8VQM3;D3Z135	0.518794578	0.91814377
MAGUK p55 subfamily member 7	Mpp7	G5E8S8;Q8BVD5;Q8BVD5-2;Q8BVD5-3;F8WGQ7;Q8BVD5-4;Q8BVD5-5	0.823379261	0.91814377
Numb-like protein	Numbl	O08919	0.749955701	0.91814377
26S proteasome non-ATPase regulatory subunit 4	Psmd4	O35226;O35226-4	0.536641414	0.91814377
39S ribosomal protein L23, mitochondrial	Mrpl23	O35972	0.823798984	0.91814377
Cathepsin S	Ctss	Q3UD32;O70370	0.555247051	0.91814377
Target of Myb protein 1	Tom1	Q3UDC3;O88746;O88746-2	0.541898335	0.91814377
Phosphoglycerate kinase 2	Pgk2	P09041	0.611850329	0.91814377
Lysosome-associated membrane glycoprotein 1	Lamp1	P11438	0.557682674	0.91814377
Gamma-enolase;Enolase	Eno2	P17183;D3Z6E4	0.802849676	0.91814377
Guanine nucleotide-binding protein subunit alpha-11	Gna11	P21278	0.797620084	0.91814377
Calcium/calmodulin-dependent protein kinase type II subunit beta	Camk2b	Q5SVJ0;Q5SVI1;Q68EG2;P28652;Q5SVI2;Q5SVI0;Q5SVI3;Q5SVJ1;Q5SVI9;Q3TY93	0.835827432	0.91814377
MARCKS-related protein	Marcksl1	P28667	0.606804803	0.91814377
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Plcb3	P51432	0.725330303	0.91814377
Ras and Rab interactor 3	Rin3	P59729;Q3U332	0.515489302	0.91814377
ADP-ribosylation factor GTPase-activating protein 1	Arfgap1	Q9EPJ9;Q3TGS9;Q9EPJ9-2	0.788042447	0.91814377
Negative elongation factor D	Th1l	Q3TW27;Q922L6	0.591734341	0.91814377
Sorting nexin-27	Snx27	Q3UHD6;Q3UHD6-2;E9PW30;F6QKA8;D6RE54	0.704523231	0.91814377
G patch domain and KOW motifs-containing protein	Gpkow	Q56A08;F6XU64	0.633096489	0.91814377
Cytoplasmic polyadenylation element-binding protein 4	Cpeb4	Q7TN98;Q7TN98-2;Q5SU48;Q7TN98-3;Q7TN98-5;Q7TN98-4;Q5SU47;Q9D5G2	0.602135645	0.91814377
Receptor-interacting serine/threonine-protein kinase 1	Ripk1	Q60855;F7D1J2	0.759540733	0.91814377
Transcriptional regulator ATRX	Atrx	Q61687;E9QAC3;F6RDB7;Q8C2S3;Q3UY26	0.436299378	0.91814377
Nuclear pore glycoprotein p62	Nup62	Q63850;E9PUX9	0.542220777	0.91814377
Switch-associated protein 70	Swap70	Q6A028	0.562027567	0.91814377
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	Inppl1	Q6P549	0.777149174	0.91814377
Tyrosine-protein phosphatase non-receptor type 23	Ptpn23	Q6PB44;Q6PB44-2	0.49699744	0.91814377
Cytoplasmic FMR1-interacting protein 1;Cytoplasmic FMR1-interacting protein 2	Cyfip1;Cyfip2	Q7TMB8;Q7TMB8-2;Q5SQX6;E9Q594;F6QD74;E9Q245;E9PZS0;G3UZI5	0.604663113	0.91814377
Stromal membrane-associated protein 2	Smap2	Q7TN29;Q7TN29-2	0.552653137	0.91814377
RNA-binding protein 12B-A;RNA-binding protein 12B-B	Rbm12ba;Rbm12bb	Q80YR9;Q66JV4;Q66JV4-2	0.537541444	0.91814377
Tetratricopeptide repeat protein 9C	Ttc9c	Q810A3;Q6P3Y6	0.72529553	0.91814377
Zinc finger protein 592	Znf592	Q8BHZ4	0.698225604	0.91814377
Pleckstrin	Plek	Q9JHK5;Q8CAG6	0.676271608	0.91814377
Membrane magnesium transporter 1	Mmgt1	Q8K273	0.563301658	0.91814377
Endophilin-B2	Sh3glb2	Q8R3V5;Q8R3V5-1;A2AWI7;Q8R3V5-3;A2AWI9;F2Z4A8	0.771246197	0.91814377
COBW domain-containing protein 1	Cbwd1	Q8VEH6;Q8VEH6-2	0.700790435	0.91814377
Protein BRICK1	Brk1	Q91VR8	0.812711059	0.91814377
Protein unc-45 homolog A	Unc45a	Q99KD5;D6RIN1;D3YZN8	0.667357056	0.91814377
Lipolysis-stimulated lipoprotein receptor	Lsr	Q99KG5;Q99KG5-2;Q99KG5-3;D3YYU9	0.703310806	0.91814377
Hsp90 co-chaperone Cdc37-like 1	Cdc37l1	Q9CZP7;Q9CZP7-4;Q9CZP7-3;Q9CZP7-2	0.654430278	0.91814377
Tax1-binding protein 3	Tax1bp3	Q9DBG9;B1AUD9	0.829822566	0.91814377
Activating signal cointegrator 1	Trip4	Q9QXN3;Q9QXN3-2;D3Z3P3	0.62712103	0.91814377
Gamma-adducin	Add3	Q9QYB5-2;Q9QYB5	0.765258364	0.91814377
A-kinase anchor protein 12	Akap12	Q9WTQ5;Q9WTQ5-2	0.636691534	0.91814377
Syntaxin-5	Stx5	Q8K1E0;Q8K1E0-2	0.69918282	0.918933339
Secernin-2	Scrn2	Q8VCA8;A2A709	0.744735623	0.919112744
Inhibitor of carbonic anhydrase	Ica;1300017J02Rik	Q9DBD0;D3YY36;F6W4D3;D3Z4X8	0.74465157	0.919112744
26S proteasome non-ATPase regulatory subunit 13	Psmd13	Q9WVJ2;E9Q5I9;E9Q0U1;F6ZQQ3;F6PXS6;E9PY93	0.744416123	0.919112744
V-type proton ATPase subunit D	Atp6v1d	P57746;F6XGK5;E9Q0D9	0.843266263	0.919350437
Ras-related protein Rab-32	Rab32	Q9CZE3;Q8QZZ8	0.703476691	0.919402627
Death-associated protein kinase 2	Dapk2	Q8VDF3;Q8VDF3-2;O54784	0.705108039	0.919627687
UHRF1-binding protein 1-like	Uhrf1bp1l	A2RSJ4;Q8C318	0.745598014	0.919769181
Importin subunit alpha-7;Importin subunit alpha	Kpna6	O35345;Q4FJZ2;G3UXF0;A2ADZ6	0.707139401	0.919802201
SH3 and multiple ankyrin repeat domains protein 3	Shank3	Q4ACU6;Q9JJZ3	0.708554784	0.919937955
Selenocysteine lyase	Scly	Q9JLI6;Q9JLI6-2;F6ZFP8;D3Z7G6;F7D651;F7BB44;D3Z3I6	0.746113068	0.919996752
Probable phospholipid-transporting ATPase IIA	Atp9a	A2AQC3;O70228;Q8C288;Q8C4G3	0.709772488	0.9200618
Serine/Arginine-related protein 53	Rsrc1	Q9DBU6;Q3TGY1;E9Q6P8;Q8BR75	0.535924974	0.920173069
Peptidyl-prolyl cis-trans isomerase G	Ppig	A2AR02	0.320912936	0.921294256
Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-1	Rps6ka1	F6Q8A4;F6RQA2;Q505N6;P18653;E9PWV3;G3UZI3;E9QK39;A2CEE7;E9PUP0;Q7TPS0;A2CEE5;Q7TPS0-3;A2CEE6;E9Q0V5;Q9WUT3;E9QLX6;Q7TPS0-2;B1AXP0;B1AXN5;Q3V226;B1AXN8	0.323892512	0.921294256
MAP kinase-activated protein kinase 2	Mapkapk2	P49138	0.317292256	0.921294256
Transmembrane protein 214	Tmem214	Q8BM55;D3Z6S1;Q8BM55-2;Q8BM55-3	0.323337392	0.921294256
Golgi reassembly-stacking protein 2	Gorasp2	Q99JX3;A2ATI9;Q99JX3-2;A2ATI6;A2ATI8	0.749652138	0.922769838
14-3-3 protein theta	Ywhaq	F6VW30;F6YY69;P68254;P68254-2	0.749687408	0.922769838
26S proteasome non-ATPase regulatory subunit 5	Psmd5	Q8BJY1;F7BA91	0.748953675	0.922769838
39S ribosomal protein L49, mitochondrial	Mrpl49	Q9CQ40;Q8BTB8	0.749688323	0.922769838
Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide	Proc	P33587	0.720662414	0.924406737
Protein odr-4 homolog	Odr4	Q4PJX1;Q4PJX1-3;Q4PJX1-2	0.721533657	0.924808971
Phosphatidylinositol transfer protein alpha isoform	Pitpna	F6SJE0;P53810;F8WGG5	0.754216919	0.925282266
Signal recognition particle 19 kDa protein	Srp19	Q9D104;G5E8T3;Q9D7A6;E9Q8C2;D6RHP8	0.754916741	0.925282266
Ragulator complex protein LAMTOR3	Lamtor3	O88653	0.75433618	0.925282266
Protein pelota homolog	Pelo	Q80X73	0.752929363	0.925282266
DCC-interacting protein 13-alpha	Appl1	Q8K3H0	0.755054267	0.925282266
Ribonuclease inhibitor	Rnh1	Q91VI7	0.753141897	0.925282266
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	Ndufb7	Q9CR61	0.75363495	0.925282266
Tubulin beta-4A chain	Tubb4a	Q9D6F9	0.75462996	0.925282266
MAGUK p55 subfamily member 6	Mpp6	Q9JLB0-2;Q9JLB0;E9PWC5;REV__F6ZJS2;REV__Q8C6L5;E9Q2R8	0.754157891	0.925282266
Acyl-protein thioesterase 2	Lypla2	Q9WTL7	0.752945684	0.925282266
39S ribosomal protein L17, mitochondrial	Mrpl17	Q9D8P4;Q9D8P4-2	0.722665485	0.925681815
Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 2	Sumo3;Sumo2	G3UZA7;Q9Z172;Q9Z172-2;G3UWX9;P61957;G3UWI9;G3UZ60;D3Z794;G3UZX6	0.755984248	0.926014156
Cadherin-5	Cdh5	P55284	0.731869205	0.926156713
Protein polybromo-1	Pbrm1	F8VQD1;E9Q4Y5;D3Z1N4;Q8BSQ9;Q8BSQ9-2;E9Q7L2;D3Z1W6;E9Q7L3;D3YYF2;F6THL5;D3Z3R4;D6RI94;D6RIL0;Q9D7L7	0.727325655	0.926156713
	Akr1c6	D3Z3P8	0.724705153	0.926156713
Formin-binding protein 1-like	Fnbp1l	E9PUI5;F6Q0N9;Q8K012;E9PUK3;Q8K012-2	0.733358646	0.926156713
Polypyrimidine tract-binding protein 2	Ptbp2	Q91Z31-2;Q91Z31	0.725930899	0.926156713
RalBP1-associated Eps domain-containing protein 2	Reps2	B9EI38;A2AFI8;B1AV20;Q80XA6;Q3UHF8	0.796405468	0.926323145
DmX-like protein 2	Dmxl2	B0V2P5;Q8BPN8;Q8BPN8-2;B0V2P6;Q8BPN8-3;F6RYL8	0.792198217	0.926323145
	Mtx1	G3XA66	0.783880553	0.926323145
Low-density lipoprotein receptor	Ldlr	P35951;Q6GTJ9;E9Q3S1	0.797852481	0.926323145
Cell division cycle 5-like protein	Cdc5l;Gm9049	Q6A068;E9Q5F8	0.810532752	0.926323145
Mitochondrial Rho GTPase 1	Rhot1	Q8BG51-4;Q8BG51-3;Q8BG51-2;Q8BG51;F7ASU3	0.792274862	0.926323145
Cytoskeleton-associated protein 4	Ckap4	Q8BMK4	0.78263681	0.926323145
Diphosphomevalonate decarboxylase	Mvd	Q99JF5	0.806695666	0.926323145
Alanine--glyoxylate aminotransferase 2-like 1	Agxt2l1	Q8BWU8;E9PYH3;F7AY26	0.757728909	0.927742875
Phosphoacetylglucosamine mutase	Pgm3	Q9CYR6;Q8BWW3	0.758520184	0.92789524
39S ribosomal protein L37, mitochondrial	Mrpl37	Q921S7	0.758235036	0.92789524
Rab GDP dissociation inhibitor alpha	Gdi1	P50396;B7FAU8	0.75957114	0.927957192
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	Gnb1	P62874	0.758997513	0.927957192
Proteasome subunit beta type-2	Psmb2	Q9R1P3	0.759287202	0.927957192
Adenosine deaminase	Ada	P03958	0.760700396	0.927993882
ADP/ATP translocase 2	Slc25a5	P51881;Q3V132	0.761268427	0.927993882
KH domain-containing, RNA-binding, signal transduction-associated protein 1	Khdrbs1	Q60749;Q9WU01;Q9WU01-2	0.760261154	0.927993882
Histone-lysine N-methyltransferase setd3	Setd3	Q91WC0;Q91WC0-2;F2Z420;Q91WC0-3;F2Z438;Q91WC0-4;D6RCY6	0.760670239	0.927993882
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	Ndufa7	Q9Z1P6	0.761267244	0.927993882
Asialoglycoprotein receptor 2	Asgr2	P24721;B1AR35	0.762441764	0.928402298
Rho-associated protein kinase 1	Rock1	P70335;P70335-2	0.76235598	0.928402298
Erlin-2	Erlin2	Q8BFZ9;Q91X78;E9PUH5	0.762604259	0.928402298
UPF0687 protein C20orf27 homolog	1700037H04Rik	F8WIU1;Q9D1K7;Q6IR22	0.76331566	0.928862038
CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Cdipt	Q8VDP6	0.739606168	0.929190668
Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	Ctdsp1	P58466;P58465;Q52KL5;G3UXN0;F7AIT6	0.859343414	0.92988653
Crooked neck-like protein 1	Crnkl1	P63154;E9PZS1;E9QA42	0.744190543	0.9300578
	Ak2	F7BP55	0.764970446	0.93046886
Cytochrome c, somatic	Gm10108;Cycs;Gm10121	G3UWG1;P62897;G3UW49;CON__P62894;P00015	0.765880677	0.930658722
G-rich sequence factor 1	Grsf1	Q8C5Q4;E9Q179;D3YUN1;D3YV30	0.766129764	0.930658722
	Nans	Q99J77	0.765828157	0.930658722
Fascin	Fscn1	Q61553	0.768085684	0.931002813
Proteasome assembly chaperone 3	Psmg3	Q9CZH3	0.768038508	0.931002813
Nucleoside diphosphate kinase 3	Nme3	Q9WV85	0.767834343	0.931002813
Eukaryotic translation initiation factor 2 subunit 3, X-linked	Eif2s3x	Q9Z0N1;A2AAW9	0.767369992	0.931002813
Stromal cell-derived factor 2	Sdf2	Q9DCT5	0.768435065	0.931020804
DNA (cytosine-5)-methyltransferase 1	Dnmt1	P13864;P13864-2	0.747597706	0.931097116
Mitotic spindle-associated MMXD complex subunit MIP18	Fam96b	Q9D187;F8WHV1	0.819448445	0.931394954
SET and MYND domain-containing protein 5	Smyd5	Q3TYX3	0.752087934	0.933142373
Solute carrier family 25 member 51	Mcart1;Slc25a51	A2AKW0;Q5HZI9;A2AKV9;G3UYJ3	0.752584359	0.933440119
COP9 signalosome complex subunit 7b	Cops7b	Q8BV13;D6RI85;D6RH36	0.770950137	0.933661545
Methionine synthase	Mtr	A6H5Y3	0.751147253	0.933771787
Nuclear pore complex protein Nup155	Nup155	Q6ZQ45;Q99P88	0.75456306	0.933771787
Trafficking protein particle complex subunit 5	Trappc5	Q9CQA1	0.748976472	0.933771787
Cleavage and polyadenylation specificity factor subunit 1	Cpsf1	Q9EPU4	0.73297093	0.933771787
	Hnrnpr	Q8VHM5;A2AW41;A2AW40	0.77162036	0.934066752
Serine/threonine-protein kinase OSR1	Oxsr1	Q6P9R2;Q9Z1W9;F7AVI9	0.772050098	0.934180619
Fanconi anemia group D2 protein homolog	Fancd2	Q80V62;E9Q6F3;F7CAP1	0.773584753	0.934521953
Aromatic-L-amino-acid decarboxylase	Ddc	O88533;Q5SUV9	0.773707356	0.934521953
Dystrophin	Dmd	P11531;A2A9Z2;A2A9Z1;E9PZX6;F6RQU9	0.774293396	0.934521953
FAS-associated factor 1	Faf1	P54731	0.773963722	0.934521953
40S ribosomal protein S13	Rps13	P62301;Q921R2	0.774395751	0.934521953
Lanosterol synthase	Lss	Q8BLN5	0.774682769	0.934521953
Regulator of microtubule dynamics protein 1	Fam82b	Q9DCV4;A2AGJ2	0.77433121	0.934521953
Calcitonin gene-related peptide type 1 receptor	Calcrl	Q9R1W5	0.759111285	0.934841111
Carbonyl reductase [NADPH] 3	Cbr3	Q8K354	0.758687238	0.934841111
Tyrosine-protein phosphatase non-receptor type 3	Ptpn3	A2ALK8;Q14BS5;A2ALK9;A2ALL0	0.758279989	0.934841111
Coagulation factor XIII B chain	F13b	B1AY02;Q07968	0.762997483	0.936044251
Glutathione peroxidase 7	Gpx7	Q99LJ6;E9PVY3	0.776719069	0.936166812
Phosphomannomutase 2	Pmm2	Q9Z2M7;O35621;Q91W01	0.776423204	0.936166812
COP9 signalosome complex subunit 5	Cops5	O35864	0.777185589	0.936323591
Sideroflexin-1	Sfxn1	Q99JR1	0.777583857	0.936398042
	Sec24b	Q80ZX0;F6VJC5;Q3U882	0.778296648	0.936851026
Importin-11	Ipo11	Q8K2V6-2;Q8K2V6;Q9CY51	0.779537357	0.936979033
Cat eye syndrome critical region protein 5 homolog	Cecr5	Q91WM2	0.780476935	0.936979033
39S ribosomal protein L16, mitochondrial	Mrpl16	Q99N93;Q9CSU4	0.779168745	0.936979033
Cytosolic non-specific dipeptidase	Cndp2	Q9D1A2;F6XEL6	0.780622586	0.936979033
Eukaryotic translation elongation factor 1 epsilon-1	Eef1e1	Q9D1M4	0.779696971	0.936979033
Importin-7	Ipo7	Q9EPL8	0.780923823	0.936979033
WD repeat-containing protein 61	Wdr61	Q9ERF3;Q8BVQ0;F6U7Z8	0.780995994	0.936979033
Rho guanine nucleotide exchange factor 7	Arhgef7	Q9ES28-3;Q9ES28;Q9ES28-7;Q9ES28-2;Q9ES28-4;D3Z0V2;Q9ES28-5;Q9ES28-8;Q9ES28-6	0.781096427	0.936979033
O-acetyl-ADP-ribose deacetylase C6orf130 homolog	AI314976	Q3U5M3;Q8R5F3	0.781832207	0.937457575
39S ribosomal protein L24, mitochondrial	Mrpl24	Q9CQ06	0.847360443	0.938149062
Fatty acid-binding protein, adipocyte	Fabp4	P04117	0.783020452	0.938478001
HEAT repeat-containing protein 3	Heatr3	Q8BQM4;E9PWH6;E9Q5L5	0.767461035	0.938698174
N-acetyltransferase 9	Nat9	Q3UG98	0.767483277	0.938698174
UPF0428 protein CXorf56 homolog	C330007P06Rik;Gm8181	E9QLS7;Q8VDP2-2;E9Q0G3;Q8VDP2	0.834935402	0.939155633
U3 small nucleolar RNA-associated protein 18 homolog	Utp18	Q5SSI6;Q3TJX6	0.835306693	0.939155633
Ethanolamine kinase 2	Etnk2	A7MCT6;A7MCT6-2	0.715111421	0.939229667
Neighbor of COX4	Cox4nb	O70378	0.74510568	0.939229667
FAD-linked sulfhydryl oxidase ALR	Gfer	P56213	0.756370794	0.939229667
Astrocytic phosphoprotein PEA-15	Pea15;Pea15a	Q62048;Q62048-2;D3Z375	0.751957892	0.939229667
COMM domain-containing protein 7	Commd7	Q8BQS7;Q8BG94;E9Q8U9;A2AU52	0.741846096	0.939229667
Signal-transducing adaptor protein 2	Stap2	Q8R0L1;Q8R0L1-2	0.732930133	0.939229667
	Tcea1	E9PYD5	0.810051226	0.939411671
Delta(14)-sterol reductase	Tm7sf2	Q71KT5;E9Q4M8;E0CX74;E9Q4M6;E0CYD6;Q3V3I6	0.79641917	0.939411671
Alanine--tRNA ligase, mitochondrial	Aars2	Q14CH7	0.836113654	0.939411671
Zinc finger protein 187	Znf187	Q5RJ54;Q5RJ54-2	0.804995295	0.939411671
Insulin-like growth factor 2 mRNA-binding protein 2	Igf2bp2	Q5SF07-2;Q5SF07;A6X8Z3	0.816047038	0.939411671
BTB/POZ domain-containing protein KCTD12	Kctd12	Q6WVG3;Q5DTY9	0.83965114	0.939411671
Nuclear pore complex protein Nup93	Nup93	Q8BJ71;Q8BJ71-2	0.781177973	0.939411671
Guanine nucleotide-binding protein-like 3	Gnl3	Q8CI11;Q8CI11-2	0.817978132	0.939411671
Lariat debranching enzyme	Dbr1	Q923B1;F6S2R9;D3YXA2;F6ZYX6;F6SDN8;F6UCV1	0.838535765	0.939411671
1-acylglycerol-3-phosphate O-acyltransferase ABHD5	Abhd5	Q9DBL9;Q9DBL9-2	0.800962499	0.939411671
	Sult1a1	G3X9H0;E9QNL5;Q91W19;D3Z3G5;D3Z2P8	0.784449909	0.939538812
Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial	Clpp	O88696	0.785931137	0.939538812
Isopentenyl-diphosphate Delta-isomerase 1	Idi1	P58044	0.785650929	0.939538812
Sorting nexin-1	Snx1	Q9WV80;Q6NZD2;D3YWH1	0.785173903	0.939538812
Nuclear pore complex protein Nup54	Nup54	Q8BTS4	0.784622106	0.939538812
Alanine--glyoxylate aminotransferase 2-like 2	Agxt2l2	Q8R1K4;Q8R1K4-2;F8WHK6;Q8R1K4-3	0.785498185	0.939538812
Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	Nudt19	P11930	0.786838604	0.940039033
Apoptosis-inducing factor 2	Aifm2	Q8BUE4;Q8BUE4-2	0.787025134	0.940039033
Plexin-B2	Plxnb2	B2RXS4;E9Q832;E9PY77;Q3UH93	0.743256035	0.940530542
Integrin alpha-L	Itgal	D3Z627;P24063;E9Q5M7;E9QNL8;D3YW95;E9PVW3	0.697060893	0.940530542
Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase	Enpp1	P06802;G3X9S2;P06802-2;E9QQ26	0.728652235	0.940530542
Peptidyl-prolyl cis-trans isomerase C	Ppic	P30412	0.746896909	0.940530542
Cytochrome c oxidase subunit 7A2, mitochondrial	Cox7a2	P48771	0.744420508	0.940530542
Calponin-1	Cnn1	Q08091;Q08091-2	0.699182519	0.940530542
Solute carrier family 25 member 44	Slc25a44	Q3TMC4;Q8BGF9;Q3TNN4;E9Q4H8	0.748283733	0.940530542
UMP-CMP kinase 2, mitochondrial	Cmpk2	Q3U5Q7	0.71134138	0.940530542
	Rps15	Q3UXS6	0.7074933	0.940530542
GTPase-activating protein and VPS9 domain-containing protein 1	Gapvd1	Q6PAR5-4;Q6PAR5;Q6PAR5-6;Q6PAR5-2;Q6PAR5-5;F7ADQ2;F7ADT6;Q6PAR5-3;E9Q0D1;F6X819;F7ADS7	0.729232466	0.940530542
WD repeat-containing protein 91	Wdr91	Q7TMQ7;D3Z101	0.739787294	0.940530542
HIV Tat-specific factor 1 homolog	Htatsf1	Q8BGC0;Q8BGC0-2	0.730234811	0.940530542
39S ribosomal protein L22, mitochondrial	Mrpl22	Q8BU88	0.704951551	0.940530542
FERM, RhoGEF and pleckstrin domain-containing protein 2	Farp2	Q91VS8;D3Z4C0	0.720647457	0.940530542
39S ribosomal protein L54, mitochondrial	Mrpl54	Q9CPW3	0.716809216	0.940530542
Density-regulated protein	Denr	Q9CQJ6;E9Q0G1	0.745413326	0.940530542
Sulfurtransferase	2610029I01Rik	Q9D0B5	0.74622298	0.940530542
Nucleolar protein 7	Nol7	Q9D7Z3;Q9D7Z3-2	0.710460896	0.940530542
Mitogen-activated protein kinase kinase kinase MLT	Mltk	Q9ESL4;Q9ESL4-2;Q9ESL4-3;A2ASW6	0.729376717	0.940530542
Nuclear protein MDM1	Mdm1	B2RPU6;Q9D067;Q9D067-2;E9PW14;E9Q0B1;Q9D067-4;Q9D067-3	0.771601914	0.940585329
SUMO-conjugating enzyme UBC9	Ube2i	P63280;G3UYP0;Q8CFZ0	0.789621232	0.940705204
Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	Hnrnph1	Q8C2Q7;O35737	0.788903779	0.940705204
Serine/threonine-protein phosphatase 2A activator	Ppp2r4	P58389;A2AWE9;A2AWF0;B7ZDE0;F6Z6I0	0.789936703	0.940705204
Copine-2	Cpne2	P59108	0.789948998	0.940705204
Ubiquitin-conjugating enzyme E2 K	Ube2k	P61087;E9Q6W9;D3Z4U3;F8WIC2	0.788516869	0.940705204
Fatty acid-binding protein, epidermal	Fabp5	Q05816;E9Q964	0.78906627	0.940705204
Glycine--tRNA ligase	Gars	Q9CZD3	0.789455867	0.940705204
Acidic leucine-rich nuclear phosphoprotein 32 family member A	Anp32a	O35381;D3Z7M9;D3YYE1;F6UFG6;Q64G17	0.790406755	0.940847733
Latent-transforming growth factor beta-binding protein 4	Ltbp4	Q8K4G1;Q8K4G1-3;E9QPS5;Q8K4G1-2;D3Z598;E9Q6B8;E9Q003	0.77289576	0.941389499
Vesicle transport protein SEC20	Bnip1	Q6QD59;F7C279;B8JJI4	0.770604079	0.94184943
H-2 class II histocompatibility antigen, A beta chain;H-2 class II histocompatibility antigen, A-K beta chain;H-2 class II histocompatibility antigen, A-U beta chain;H-2 class II histocompatibility antigen, A-S beta chain;H-2 class II histocompatibility antigen, A-F beta chain	H2-Ab1	P14483;P06343;P06344;P06345;E9Q297;P06346;E9Q2L3	0.858312561	0.941865111
Mitochondrial inner membrane protein	Immt	E9QLA0;Q8CAQ8-5;Q8CAQ8;Q3TZK4	0.850216804	0.941906851
Phosphatidylinositol 4-kinase type 2-alpha	Pi4k2a	Q2TBE6	0.79169412	0.941977228
Hexokinase-3	Hk3	Q3TRM8;E9Q8S8;E9Q3Z4;D6RFA3;D3Z2E4;D6RCV7	0.862713306	0.942172744
