Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Insulin-degrading enzyme	Ide	F6RPJ9;Q9JHR7	1423121_at	-0.603406772	-0.219462839	-0.576280258	-0.362105136	-0.234991741	-0.585443319	-0.301821736	-0.267236142	-0.321466359	-0.057138304	-0.691444831	-0.111832587	-0.087055435	0.07289241	-0.59454855	-0.333767192
Cytochrome c oxidase subunit 6B1	Cox6b1	P56391	1436757_a_at	-0.008343459	-0.073820233	0.143261252	-0.029982866	0.14228966	0.045490984	0.084517342	0.149056595	0.146722886	0.190371534	0.335043924	0.074942437	-0.087870133	0.082988416	0.104201053	0.032919949
CTP synthase 2	Ctps2	P70303;P70303-2;P70303-3;A2AEQ5	1448111_at	-0.779385806	-0.306728867	-0.52084965	-0.647360565	-0.305678743	-1.043764442	-0.655992884	-0.654252213	-0.725086725	-0.842455949	-0.602646909	-0.532666057	-0.698218478	-0.58236331	-0.756083908	-0.311851831
Interferon regulatory factor 3	Irf3	P70671	1416898_a_at	0.145350001	0.092863205	-0.045023522	-0.026304324	0.119212618	0.271182631	0.044196213	0.014587008	0.093632717	-0.112499976	0.000779266	0.025808457	-0.016211033	-0.057831475	-0.057692867	0.026528317
26S proteasome non-ATPase regulatory subunit 12	Psmd12	Q9D8W5;B1AT36;Q3TRH2	1448492_a_at	-0.034919984	-0.008056555	-0.038997979	0.002353512	0.007550592	-0.05630606	0.00808729	-0.044044333	0.072103546	-0.065434446	-0.097610797	-0.008773707	0.065038209	-0.091124334	-0.100035721	-0.095991913
Serine/threonine-protein phosphatase PP1-beta catalytic subunit	Ppp1cb	P62141	1426205_at	0.226661896	0.134857164	-0.129348967	0.005318911	0.016716319	0.190898414	0.380295897	0.107585658	-0.170437869	0.911994129	NA	NA	-0.174534255	NA	0.119259628	0.280720164
Thymosin beta-4;Hematopoietic system regulatory peptide	Tmsb4x	P20065;P20065-2	1415906_at	0.039725546	-0.114500293	-0.29007047	-0.2880632	-0.16889872	-0.201508404	-0.228726355	-0.256044474	-0.147436959	-0.193077822	-0.239031363	-0.236217064	-0.166329818	0.081201626	-0.143524033	-0.319039816
Zinc finger CCCH domain-containing protein 15	Zc3h15	Q3TIV5;Q3TIV5-2;Q3TIV5-3	1427877_at	0.172489867	0.246635077	0.166826537	0.161717815	0.179825123	0.307412115	0.105116286	0.174132982	0.188216625	0.095527463	0.082362024	0.163235609	-0.056583528	-0.024603367	0.130776077	-0.09396575
Cytoplasmic dynein 1 light intermediate chain 1	Dync1li1	Q8R1Q8	1424947_at	0.018030475	-0.027578727	0.012242571	-0.015497569	-0.115965432	0.058112441	-0.028003278	-0.049351959	-0.042224074	-0.020484422	-0.098284796	0.032580511	-0.092613393	-0.095586908	-0.030547964	-0.023468281
Protein NipSnap homolog 1	Nipsnap1	E9Q0E4;O55125;Q5SVG6	1456748_a_at	0.437212966	0.463211016	0.563326431	0.375459227	0.965784285	0.3382504	0.46783268	0.499259123	0.566527726	0.525184999	0.592766912	0.465519997	0.388166635	0.408933404	0.532073669	0.371142435
Tubulin--tyrosine ligase-like protein 12	Ttll12	Q3UDE2;F2Z423	1445451_at	0.489848242	0.144265387	0.024208423	0.300572743	0.099649033	0.189022283	0.174833094	0.263022864	0.058007305	0.385111155	0.174816808	0.146706915	0.064585514	0.392477932	0.089620381	0.132403964
Carbamoyl-phosphate synthase [ammonia], mitochondrial	Cps1	Q8C196	1455540_at	0.126643498	0.103983964	0.023577704	0.185818757	0.17577797	0.075763264	0.150657206	0.077223667	0.139235797	0.164318416	0.153606979	0.185113295	0.2227339	0.135142323	0.173237984	0.271600541
CDGSH iron-sulfur domain-containing protein 1	Cisd1	Q91WS0	1416850_s_at	0.207044724	-0.054640131	0.271861797	-0.000144262	0.41831132	0.063288574	0.121753348	0.221286779	0.233633822	0.248244941	0.41636539	0.158638697	-0.273217473	0.217490785	0.157882015	0.013902214
UTP--glucose-1-phosphate uridylyltransferase	Ugp2	Q91ZJ5;Q91ZJ5-2	1434486_x_at	-0.638583615	-0.691534165	-0.796348562	-0.555914294	-0.630125852	-0.794603015	-0.574731263	-0.719139622	-0.754631	-0.683561722	-0.656633655	-0.45037988	-0.595312689	-0.599032083	-0.688672738	-0.409363779
Methyltransferase-like protein 2	Mettl2	Q8BMK1;Q8BMK1-2	1444716_at	NA	NA	0.60537611	NA	NA	NA	NA	0.893062125	0.272959586	0.198741994	0.88720647	NA	-0.296545508	NA	NA	NA
NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	Nfu1	Q9QZ23	1418229_s_at	-0.239886801	-0.137372364	-0.141171172	-0.167871708	-0.134352387	-0.216237552	-0.189919418	-0.268075023	-0.151858817	-0.303809967	-0.272739878	-0.244278199	-0.088955682	-0.234256048	-0.242084171	-0.125122061
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	Ndufaf3	Q9JKL4	1418185_at	-0.024035935	0.054092703	-0.123533772	0.146978451	-0.74760223	-0.01720929	0.200697135	-0.022616379	-0.196607044	-0.100977648	-0.276913483	-0.098419558	0.061420617	-0.23780843	-0.014640947	-0.176960992
Protein LTV1 homolog	Ltv1	Q6NSQ7	1426813_at	NA	NA	NA	-0.34857237	NA	-0.059770581	NA	NA	-0.247076832	NA	NA	0.072376566	0.467294052	NA	NA	NA
Rap guanine nucleotide exchange factor 2	Rapgef2	Q8CHG7;E9QNQ4	1452833_at	0.010672037	NA	0.208794385	NA	0.422153078	NA	0.09631382	NA	NA	0.002657004	NA	0.09087976	NA	-0.421802281	NA	NA
Coiled-coil domain-containing protein 104	Ccdc104	Q8C6E0;Q5SNY8	1451442_at	NA	-0.439995398	NA	-0.13422094	NA	-0.138159145	NA	-0.227741076	NA	NA	NA	NA	-0.631988957	0.23207406	NA	NA
Integrator complex subunit 4	Ints4	Q8CIM8;Q8CIM8-2;Q8CIM8-3	1423806_at	-0.189160371	NA	NA	NA	0.046682605	NA	NA	NA	NA	NA	-0.311968051	0.244172381	NA	-0.253989266	NA	NA
Homeobox protein DBX1	Dbx1	P52950	1457012_at	-1.491186096	-0.906582788	-1.543000877	-1.33107458	-1.565987041	-2.07299756	-1.47342327	-1.363843897	-1.883542619	-1.429964044	-1.687732595	-0.917240784	NA	-0.084472517	-2.009669646	-1.669843154
Extended synaptotagmin-1	Esyt1	Q3U7R1;Q3U7R1-2	1451099_at	0.124471546	-0.073546061	0.144169725	-0.078609835	-0.032665112	0.023357751	0.028484036	-0.008630305	-0.005328121	-0.114233744	0.056716262	NA	-0.330099418	-0.08719125	-0.015354834	-0.296075575
WD repeat-containing protein 44	Wdr44	Q6NVE8;Q6NVE8-2	1430775_at	-0.187767747	-0.272978695	0.197616505	-0.097206246	-0.105275783	-0.119555385	-0.143393419	0.29638541	-0.529770982	0.049456933	0.15690053	NA	-0.459431619	-0.662752389	0.441889136	0.358768439
Ubiquitin thioesterase OTUB1	Otub1	Q7TQI3;D3YWF6;D3Z7K0	1417705_at	-0.108758614	-0.112366523	-0.160920188	-0.131326075	-0.163369914	-0.125386605	-0.120484657	-0.095046725	-0.209016592	-0.169540231	-0.185486004	-0.119422583	-0.061015775	-0.231186613	-0.123401336	-0.075053365
Lysophospholipase-like protein 1	Lyplal1	E9QLB2;Q3UFF7	1451490_at	-0.070664101	-0.086919607	-0.048933645	-0.080521232	-0.035764654	-0.001730196	-0.137896932	0.102062602	-0.182819402	-0.036608829	-0.146394549	-0.069014678	-0.114367025	-0.049073097	-0.09895848	-0.052137623
ATP synthase subunit f, mitochondrial	Atp5j2	P56135;F8WHP8	1416269_at	0.143181589	-0.079019633	0.358232035	0.019506677	0.41251979	0.162541101	0.203003629	0.254547517	0.299311716	0.359082975	0.467453624	0.267930555	-0.224040274	0.18020104	0.220412479	-0.036608829
COP9 signalosome complex subunit 2	Cops2	P61202-2;P61202;A2AQE4	1423459_at	-0.057554246	-0.020911066	-0.186880831	-0.091124334	-0.098015234	-0.097475959	-0.066123642	-0.062398064	-0.138552375	-0.063640993	-0.232169543	0.005695446	-0.174150712	-0.150169706	-0.052694111	-0.140124224
Mevalonate kinase	Mvk	Q3UEB4;Q9R008;D3YV77	1418052_at	0.186475311	0.188841382	0.530218193	0.291291854	0.490030591	0.366726902	-0.092883966	0.263525006	0.62925541	0.132150968	0.056641237	0.262313239	0.229162499	0.370638717	-0.09017595	0.340623405
Ubiquitin-associated protein 2-like	Ubap2l	Q80X50-2;Q80X50;Q80X50-4;Q80X50-5;E9Q9Q3;Q80X50-3;E9PZA1	1435882_at	0.097640805	4.33e-05	-0.118758389	0.029735321	0.101721982	0.02664588	-0.036327492	-0.034638318	-0.054223347	-0.024886999	0.020033213	0.010308731	0.108720812	-0.123798608	0.0489494	0.012868352
Vigilin	Hdlbp	Q8VDJ3	1419806_at	0.052969779	0.083569217	0.000317428	0.013756555	-0.02672925	0.105178357	-0.018634174	-0.007626092	-0.005040617	-0.01564029	-0.10272531	0.009640488	0.006347374	-0.019630756	-0.085152681	-0.16812853
Heat shock 70 kDa protein 12B	Hspa12b	Q9CZJ2	1460371_at	0.253429249	0.354169247	-0.555816155	-0.098689044	0.027233835	-0.186754085	-0.314986485	0.004175425	-0.808920427	-0.311386858	-0.03083043	0.380070576	-0.122606463	0.135300768	-0.206393169	-0.113700499
Tubulin-folding cofactor B	Tbcb	Q9D1E6	1448533_at	-0.008486889	-0.042083959	0.387826817	-0.098554307	-0.085424656	0.09087976	0.002194565	-0.004321606	-0.040261223	-0.231923873	-0.274172189	-0.203389117	-0.213005039	-0.253747285	-0.129085148	-0.00662118
Prolyl 3-hydroxylase 1	Lepre1	A2A7Q5;A6PW84;Q3V1T4;Q3V1T4-3;E9QNM0;Q3V1T4-2;F2Z499	1452752_at	NA	NA	0.092940138	-0.432852537	NA	-0.107152199	0.181182154	-0.507820006	-0.353774945	-0.738292263	NA	-0.378955461	-0.631895859	0.219790704	-0.628540319	1.443085067
Cyclin-dependent kinase 11B	Cdk11b	P24788;A2A9P6;P24788-2;Q64434	1418841_s_at	-0.41467678	0.078243783	-0.041523362	-0.327802315	-0.252536767	-0.005902957	-0.18027519	-0.157173094	-0.129480859	NA	0.094094621	NA	-0.101650076	NA	-0.314754522	NA
UPF0485 protein C1orf144 homolog	D4Ertd22e	Q6NXN1;A2AA85;Q6NXN1-2;A2AA86	1434482_at	0.075003223	0.217172108	NA	-0.028144768	0.122397082	NA	-0.029417547	0.359878873	NA	NA	0.024619271	0.214190017	0.234770798	0.030162479	0.034736565	0.15392797
Phosphorylase b kinase regulatory subunit alpha, liver isoform	Phka2	Q8BWJ3;A2AHQ7;Q6PE66;A2AHQ8	1434518_at	-0.427498905	NA	-0.073134705	0.091002685	-0.043484498	-0.308943288	-0.428892762	-0.059770581	-0.355241844	NA	0.01435385	NA	-3.884890923	0.158542078	NA	0.403522777
Kinesin-like protein KIF17	Kif17	Q99PW8;A2AM72;A2AM74;Q3V365;O35057	1419826_at	0.121156972	NA	NA	0.086231666	NA	0.026249145	0.200780038	0.25618347	0.032373935	0.279844136	NA	0.251006442	0.190914882	0.196607621	0.227320418	0.471208668
GDP-fucose protein O-fucosyltransferase 1	Pofut1	Q91ZW2;Q3UXG7;A2AMC3;E9Q686;E9PZ15	1443881_at	0.242976753	0.134682929	0.08894507	-0.151988666	0.032314919	-0.042784398	0.099834548	0.184867284	-0.060324133	NA	0.084456154	NA	-0.011781859	NA	NA	-0.236829335
Copper-transporting ATPase 2	Atp7b	Q64446;B1AQ57;A2AG68;Q64430	1436481_at	NA	-0.040682059	-0.295017665	0.226037423	-0.207643013	0.274965643	-0.236339539	0.066925971	-0.182056609	-0.02672925	-0.372729271	0.009814782	NA	-0.206768235	NA	NA
Protein misato homolog 1	Msto1	D3YX87;E9PUB7;Q2YDW2;Q2YDW2-2	1424577_at	-0.461842838	-0.343692069	0.205047707	-0.5431989	0.091602095	-0.51893793	-0.160016608	-0.668391477	NA	NA	-0.462575888	-0.483673919	0.205480159	NA	NA	-0.251446432
RalBP1-associated Eps domain-containing protein 1	Reps1	O54916;E9Q632;F6R6F1;O54916-4;O54916-3;D3Z2E3;D6RIN6;F6YT69;O54916-2	1416216_at	0.167587926	-0.015354834	-0.052415894	-0.054917919	0.248656258	NA	0.076523706	-0.05004888	NA	0.339071383	NA	NA	-0.343919426	0.036451894	-0.047398789	-0.477780929
	Klc1	Q8CD76;D3Z5T6;Q7TNF4;E9Q7C9;E9QKS0;E9QM07;Q5UE59	1428881_at	NA	NA	-0.489234635	-0.446467986	NA	-0.744247224	NA	-0.3652446	-0.109159939	-0.455964989	-0.889551419	-0.204015477	-0.103799743	-0.495081119	-0.435628594	0.01444128
Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	Gm20498;Cox16	E9PVN6;Q9CR63	1450895_a_at	0.150016748	-0.315913965	0.072270385	-0.01720929	-0.03562391	NA	0.102790559	0.090434244	0.282895011	NA	0.208527633	NA	-0.332965663	NA	-0.086919607	-0.730052978
Ecotropic viral integration site 5 protein	Evi5	F8VPT6;P97366;E9QLA9;E9PWR7;Q3UYX4;Q3TMK4;E9Q9B1;E9Q8R0;E9Q7X9;Q3TRC2	1417512_at	0.02763084	0.34431845	0.590440703	0.592505842	0.273953544	0.833181739	0.018439568	1.793406784	0.214441079	NA	0.403904488	-0.284869433	0.627226161	NA	NA	NA
Protein unc-93 homolog B1	Unc93b1	E9PYK0;Q8VCW4;E9Q8P6;Q8VCW4-2	1423768_at	-0.36960607	-0.464877338	NA	-0.336054824	NA	-0.135140816	NA	-0.06997707	-0.04082231	0.895394957	-0.023042393	NA	-0.114633549	0.033731974	-0.53913399	-0.248413392
RNA-binding protein 26	Rbm26	Q6NZN0;E9PYZ7;Q6NZN0-2;Q6NZN0-4;Q6NZN0-3;E9Q640;Q6NZN0-5;E9PUF4	1426803_at	-0.087870133	0.01922886	NA	0.188874271	-0.286999397	-0.002018361	-0.056167306	0.03452968	-0.188147687	NA	-0.385375813	NA	0.096082494	NA	-0.957988867	-0.113167057
	Nolc1	E9Q5C9;E9PVC9	1428870_at	0.144392947	NA	-0.150689643	0.130744486	NA	0.233379398	NA	0.250783267	-0.038997979	0.350559284	NA	0.561345189	1.023680361	0.032300165	0.730511967	1.240690742
CUGBP Elav-like family member 2	Celf2	Q9Z0H4-9;Q9Z0H4-6;Q9Z0H4-2;Q9Z0H4-8;Q9Z0H4;F6V6I8;Q9Z0H4-4;Q9Z0H4-5;Q9Z0H4-7;E9QA47;Q9Z0H4-11;A3KGT2;A3KGT0	1444152_at	-0.072174417	-0.344146748	-0.147697444	-0.173511248	-0.009347172	-0.554048507	-0.11209958	NA	-0.071625394	-0.003314389	NA	-0.457961944	-0.397036241	0.0967303	NA	NA
	Psmd11	F6Z0Q9	1440253_at	-0.304861451	0.060081396	NA	-0.017779413	-1.108357178	-0.053111336	NA	NA	-0.579276711	-0.494466814	-1.376401527	-0.357833479	NA	-0.648925559	-0.185232254	-0.129744606
Hepatocyte growth factor receptor	Met	F8VQL0;P16056;F6X333;D3YVY2	1434447_at	0.252208745	0.317930161	-0.462366483	0.107974309	0.076645414	0.242823102	-0.590242708	0.190569091	-0.035764654	0.027101524	NA	-0.200755432	NA	-0.298306396	NA	NA
Poly(ADP-ribose) glycohydrolase	Parg	O88622;G3X8U8;O88622-2;A5YBK2;E9Q088;E9Q954	1448725_at	-0.110095929	-0.079838881	0.213002248	-0.201759307	1.080453969	NA	0.349566288	-0.238297728	-0.024177814	-0.486147994	NA	-0.200127654	-0.348345745	-0.313361959	NA	NA
Unconventional myosin-Vb	Myo5b	G3X9Y9;P21271-3;G5E8G6;P21271;D3YVV2;F8VQM3;D3Z135	1437698_at	NA	0.303703431	0.357418561	0.190174004	NA	0.318199943	0.141143704	0.285670946	0.226965792	-0.136847604	-0.139076515	-0.196103398	0.022595506	-0.091530593	NA	NA
MAGUK p55 subfamily member 7	Mpp7	G5E8S8;Q8BVD5;Q8BVD5-2;Q8BVD5-3;F8WGQ7;Q8BVD5-4;Q8BVD5-5	1443971_x_at	1.14710625	0.51779191	0.174800523	0.294703255	0.145461698	0.788613938	1.63518107	0.440224326	0.280912961	NA	0.485660563	NA	NA	NA	-0.10017032	-0.036608829
Numb-like protein	Numbl	O08919	1416491_at	-0.160016608	-0.135797512	NA	-0.25761413	-0.067501049	NA	-0.168642036	NA	NA	-0.228603232	-0.562474458	-0.279530726	-0.58909231	-0.170053235	-0.136322654	-0.474462002
26S proteasome non-ATPase regulatory subunit 4	Psmd4	O35226;O35226-4	1418874_a_at	NA	NA	0.144791642	-0.092883966	NA	NA	-0.428356822	0.069058335	-0.09423607	0.04510392	-0.196607044	0.037932264	-0.131457785	0.023724359	-0.047259175	-0.172999473
39S ribosomal protein L23, mitochondrial	Mrpl23	O35972	1416948_at	NA	-0.246347277	NA	-0.27643711	NA	-0.279649579	-0.074505436	-0.161307264	NA	-0.356031095	-0.028144768	-0.371391584	-0.240741731	-0.125915549	-0.267715562	-0.289008146
Cathepsin S	Ctss	Q3UD32;O70370	1448591_at	NA	-0.201633861	0.001125741	-0.123136427	NA	-0.061015775	0.348427023	NA	0.220967262	NA	0.307501383	-0.384160354	0.220076351	-0.593784005	0.473871077	-0.034497464
Target of Myb protein 1	Tom1	Q3UDC3;O88746;O88746-2	1431188_a_at	-0.241474126	-0.068051643	-0.19181529	-0.318345767	-0.557091444	0.137298676	0.087917362	NA	-0.110897723	NA	-0.173383321	NA	-0.286644621	NA	-0.31533436	-0.222309979
Phosphoglycerate kinase 2	Pgk2	P09041	1416784_at	NA	-0.631337144	0.16524025	-0.083111227	NA	-0.028852006	-0.282380495	-0.0528332	-0.31556623	-0.12763328	-0.282854909	NA	-0.051163253	NA	-0.332163688	0.041625001
Lysosome-associated membrane glycoprotein 1	Lamp1	P11438	1415880_a_at	0.109763452	NA	0.204382648	NA	NA	NA	-0.731443946	-0.363002823	-0.120617361	0.154313254	-1.358733827	-0.457121458	-0.468531186	-0.325846898	-0.442333123	-0.640713465
Gamma-enolase;Enolase	Eno2	P17183;D3Z6E4	1418829_a_at	NA	-0.140778656	-0.726569678	-0.664664872	NA	-0.562181356	-0.679964201	-0.75411786	-0.787432465	NA	-0.561203921	NA	-0.546956178	-0.615981211	-0.614662735	-0.482022175
Guanine nucleotide-binding protein subunit alpha-11	Gna11	P21278	1449144_at	-0.039559557	-0.266996372	-0.192446694	0.111773048	0.144424838	0.211214077	0.090633941	0.020047842	-0.129876461	NA	0.089390126	NA	-0.504162725	-0.156784908	NA	NA
Calcium/calmodulin-dependent protein kinase type II subunit beta	Camk2b	Q5SVJ0;Q5SVI1;Q68EG2;P28652;Q5SVI2;Q5SVI0;Q5SVI3;Q5SVJ1;Q5SVI9;Q3TY93	1448676_at	-0.291132012	-0.39297679	-0.196103398	-0.398569276	NA	-0.319964694	-0.482848283	-0.390777727	-0.393855477	NA	-0.259423152	NA	-0.45438649	NA	-0.179893171	-0.214124805
MARCKS-related protein	Marcksl1	P28667	1435415_x_at	NA	-0.031818626	0.250748936	-0.369717729	NA	-0.089498151	NA	-0.307311939	0.087733372	-0.257855464	NA	-0.385486259	0.004797716	-0.237441347	-0.334225008	-0.244278199
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Plcb3	P51432	1448661_at	NA	-0.01235413	0.160233859	-0.153416242	-0.139076515	0.096915441	NA	-0.145351386	0.094479653	0.099911854	NA	0.063077554	0.107741106	-0.031395196	0.003611254	NA
Ras and Rab interactor 3	Rin3	P59729;Q3U332	1434684_at	-0.100304906	0.107368059	NA	0.080682803	0.197318728	-0.060185765	0.068498473	-0.12763328	NA	-0.080384787	NA	0.101629099	0.120451057	-0.161049225	NA	0.180626107
ADP-ribosylation factor GTPase-activating protein 1	Arfgap1	Q9EPJ9;Q3TGS9;Q9EPJ9-2	1427245_at	-0.173511248	-0.00028851	NA	0.069724399	-0.205892928	-0.101515615	-0.025454096	0.014368422	0.146946503	NA	-0.008486889	NA	0.291009405	NA	0.001428976	-0.12551886
Negative elongation factor D	Th1l	Q3TW27;Q922L6	1416198_at	0.182213042	0.182196673	0.130554952	0.135554317	-0.012497163	NA	0.171108497	0.258390639	0.07810671	NA	-0.134615244	NA	0.043824367	NA	0.076538919	-0.0614306
Sorting nexin-27	Snx27	Q3UHD6;Q3UHD6-2;E9PW30;F6QKA8;D6RE54	1433614_at	0.047949781	NA	0.112006904	0.051503808	-0.020768865	-0.188274311	0.258614993	-0.175939705	NA	NA	-0.033792989	0.083874996	0.031385732	0.049531586	0.723705832	NA
G patch domain and KOW motifs-containing protein	Gpkow	Q56A08;F6XU64	1434344_at	0.987817527	0.139108693	0.362287751	0.091540605	0.800877358	0.89287459	NA	0.596186938	0.388015595	NA	0.768715064	NA	0.066276302	NA	0.597168698	0.354519673
Cytoplasmic polyadenylation element-binding protein 4	Cpeb4	Q7TN98;Q7TN98-2;Q5SU48;Q7TN98-3;Q7TN98-5;Q7TN98-4;Q5SU47;Q9D5G2	1420617_at	-0.248170473	-0.798838544	-0.241474126	-0.439250781	-0.035060797	-0.432852537	-0.256889886	-0.74760223	-0.695281195	0.094479653	NA	-0.391327807	NA	-0.451751815	NA	NA
Receptor-interacting serine/threonine-protein kinase 1	Ripk1	Q60855;F7D1J2	1419508_at	-1.784880835	NA	-0.011924948	0.04572923	-0.798257933	-0.167100969	-0.499986164	-0.158337027	-0.014926544	NA	-0.316609184	NA	-0.045023522	NA	0.372019697	0.013596347
Transcriptional regulator ATRX	Atrx	Q61687;E9QAC3;F6RDB7;Q8C2S3;Q3UY26	1453734_at	0.138393941	NA	0.36011958	NA	0.051802865	0.498545568	0.520045168	0.52197046	0.118491991	NA	0.07365134	NA	0.5190318	0.155662558	0.27486091	0.236044596
Nuclear pore glycoprotein p62	Nup62	Q63850;E9PUX9	1447905_x_at	-0.066399229	-0.091259766	-0.263515224	-0.094641454	-0.190804468	-0.072037181	-0.346304516	-0.162725653	-0.001874286	NA	NA	NA	-0.168513676	-0.120219212	NA	0.014382993
Switch-associated protein 70	Swap70	Q6A028	1423543_at	-0.108089492	0.153783515	-0.023894043	-0.159758338	0.069860677	0.806493169	NA	NA	0.035963704	-0.098015234	0.275244968	0.186984346	-0.057692867	NA	-0.041803688	NA
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	Inppl1	Q6P549	1460394_a_at	NA	0.142225972	0.477683062	2.396688189	NA	1.855849186	NA	0.101412397	0.053853072	-0.089362553	0.291433099	3.291945229	-0.087462841	NA	0.076006562	5.918071415
Tyrosine-protein phosphatase non-receptor type 23	Ptpn23	Q6PB44;Q6PB44-2	1427128_at	0.086109147	0.064615689	0.127982923	-0.03885755	-0.000144262	0.149360574	0.086890385	0.196310053	-0.108758614	NA	NA	NA	0.151009579	NA	0.080667546	0.220631005
Cytoplasmic FMR1-interacting protein 1;Cytoplasmic FMR1-interacting protein 2	Cyfip1;Cyfip2	Q7TMB8;Q7TMB8-2;Q5SQX6;E9Q594;F6QD74;E9Q245;E9PZS0;G3UZI5	1416329_at	-0.045163352	0.350209819	0.224131917	-0.217851097	0.153318148	NA	-0.23793077	0.153831666	0.058848606	NA	0.24869054	0.440126455	NA	0.704629612	NA	-0.096261853
Stromal membrane-associated protein 2	Smap2	Q7TN29;Q7TN29-2	1450675_at	-0.040682059	-0.089091319	0.050039325	-0.033088169	NA	-0.223669671	-0.131984509	-0.07121349	-0.298423712	NA	-0.029982866	NA	0.07346916	NA	-0.010779839	0.017519272
RNA-binding protein 12B-A;RNA-binding protein 12B-B	Rbm12ba;Rbm12bb	Q80YR9;Q66JV4;Q66JV4-2	1435158_at	NA	-0.265316867	-0.209266193	3.195483795	-0.711935357	NA	-0.705845234	-0.324349789	0.118523315	0.155598277	-1.487795024	-0.205267382	-0.511670438	NA	NA	-1.715322328
Tetratricopeptide repeat protein 9C	Ttc9c	Q810A3;Q6P3Y6	1434001_at	NA	0.078533201	0.242737747	-0.065710164	NA	0.147154178	NA	-0.022616379	-0.021053252	-0.180784391	NA	0.100808898	0.127762226	-0.550999139	-0.199373961	0.38837434
Zinc finger protein 592	Znf592	Q8BHZ4	1454864_at	NA	0.233532047	0.231447239	0.481767028	NA	0.419275624	0.805156488	0.779992056	0.771175154	-0.263395035	1.160846613	0.375665111	0.285741292	NA	NA	0.485781774
Pleckstrin	Plek	Q9JHK5;Q8CAG6	1448748_at	NA	0.042828293	0.026734058	0.03704386	NA	0.262295935	0.163203299	0.44075294	0.421012997	0.319045586	0.651110415	NA	NA	0.186688755	-0.18142064	0.018936479
Membrane magnesium transporter 1	Mmgt1	Q8K273	1436705_at	-0.475707495	-0.087462841	0.113847892	0.101133828	NA	0.20099561	0.288540335	-0.252900029	0.177832766	NA	0.235908671	NA	-0.287826867	NA	-0.230940776	-0.197488002
Endophilin-B2	Sh3glb2	Q8R3V5;Q8R3V5-1;A2AWI7;Q8R3V5-3;A2AWI9;F2Z4A8	1426499_at	NA	0.102000665	-0.036186803	-0.624709202	-0.558659484	-0.370164281	0.081720636	NA	-0.230940776	-1.96469435	-0.295487943	NA	-0.345282818	NA	-0.301002256	-0.396926676
COBW domain-containing protein 1	Cbwd1	Q8VEH6;Q8VEH6-2	1451531_at	-0.124460486	0.326190335	0.06214341	NA	-0.046560906	1.469649538	-0.004465437	0.204282916	-0.196355243	0.302582006	NA	NA	NA	-0.0223323	-0.432638773	0.107787743
Protein BRICK1	Brk1	Q91VR8	1451729_at	0.013479843	-0.12035194	-0.233642683	NA	0.68443377	-0.183200647	-0.209141398	-0.286762889	0.105349066	NA	-0.310456462	NA	-0.217602977	NA	-0.295370388	-0.102322191
Protein unc-45 homolog A	Unc45a	Q99KD5;D6RIN1;D3YZN8	1459867_x_at	0.355313057	0.376245487	0.032270658	0.079142692	0.023211134	0.010119849	0.209978692	0.016118044	0.024722002	-0.005615567	NA	NA	0.305556581	-0.152767519	NA	NA
Lipolysis-stimulated lipoprotein receptor	Lsr	Q99KG5;Q99KG5-2;Q99KG5-3;D3YYU9	1451255_at	NA	-0.10514166	-0.074916402	-0.275722256	-0.072586047	-0.06681251	-0.250719083	0.007289568	0.122726911	-0.534460082	-0.133563526	-0.25592366	NA	-0.424384672	NA	NA
Hsp90 co-chaperone Cdc37-like 1	Cdc37l1	Q9CZP7;Q9CZP7-4;Q9CZP7-3;Q9CZP7-2	1430205_a_at	0.079859172	0.049083729	-0.118226814	0.167328685	0.057601853	-0.051859299	0.077025818	-0.632268215	0.042427084	NA	-0.55198351	NA	0.048173516	NA	NA	-0.358958826
Tax1-binding protein 3	Tax1bp3	Q9DBG9;B1AUD9	1455871_s_at	NA	-0.2310637	-0.227864273	-0.41196851	NA	-0.240131118	-0.177981556	-0.242328116	-0.810566494	NA	-0.122341408	-0.1728715	-0.378733559	NA	-0.373731722	-0.138683428
Activating signal cointegrator 1	Trip4	Q9QXN3;Q9QXN3-2;D3Z3P3	1422857_at	1.018761079	0.254736848	0.597015936	0.119839543	NA	0.144424838	0.391531368	0.126155311	0.367973805	NA	0.17049137	NA	0.382268962	NA	0.255046716	-0.09423607
Gamma-adducin	Add3	Q9QYB5-2;Q9QYB5	1423298_at	0.155244782	NA	-0.064193062	-0.028710586	0.085205888	-0.044743821	NA	-0.216982489	-0.317535622	NA	-0.073820233	-0.336626166	-0.047677975	-0.493032418	NA	-0.160533009
A-kinase anchor protein 12	Akap12	Q9WTQ5;Q9WTQ5-2	1419706_a_at	-0.190172345	-0.088684372	-0.268434394	-0.28853575	NA	0.017022848	-0.217354814	-0.435841916	-0.164528861	NA	0.297058821	NA	-0.199499604	-0.41986245	NA	0.01959442
