Gene.names,Classes,Protein.IDs,Protein.names,Half.life.protein,nZT00,nZT03,nZT06,nZT09,nZT12,nZT15,nZT18,nZT21,nZT24,nZT27,nZT30,nZT33,nZT36,nZT39,nZT42,nZT45,nb.timepoints.proteins,rel.amp.protein,Phase.protein,Pvalue.protein,FDR.protein,mRNA.ID,ZT00,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46,rel.amp.mRNA,Phase.mRNA,Pvalue.mRNA,FDR.mRNA
Idi1,1,P58044,Isopentenyl-diphosphate Delta-isomerase 1,85.43,-0.306495572,-0.195347598,-0.261229909,-0.405665675,-0.027437183,-0.287472295,-0.781317744,-0.39835037,-0.430178204,-0.613814507,-0.983312871,-0.553655402,-0.287708686,-0.355241844,-0.889317778,-0.473838853,16,0.051286547,10.1782931,0.785650929,0.939538812,1451122_at,11.99784004,12.05835021,11.76583603,12.09422778,11.91987643,11.82517663,11.89951048,12.14866885,12.22461945,11.72570676,12.48233721,11.76979794,12.17549233,12.2357672,12.10785606,11.67618024,12.2678476,12.08235959,12.08441015,12.13626095,12.07168154,11.75370087,11.13099919,12.02011708,0.019812949,8.644958528,0.809993176,0.898201882
Snx1,1,Q9WV80;Q6NZD2;D3YWH1,Sorting nexin-1,50.27,-0.178491568,-0.247684513,-0.274768566,-0.129217064,-0.130008304,-0.094911647,-0.262553427,-0.182183769,-0.279649579,-0.09085343,0.006854633,-0.126708602,-0.118492626,-0.219338923,0.074760095,0.109436573,16,0.022391367,16.45231488,0.785173903,0.939538812,1416260_a_at,7.606955685,7.529655131,7.510498179,7.451101947,7.370095959,7.209121309,7.483797381,7.34680315,7.582749844,7.218320836,7.577541005,7.117073184,7.335407865,7.240014119,6.991611522,7.247310319,7.33368536,7.450426023,7.483205192,7.421541837,7.458822673,7.442881977,7.41132815,7.44651436,0.036301205,16.63921746,0.468007338,0.673782965
Nup54,2,Q8BTS4,Nuclear pore complex protein Nup54,48.23,-0.148478616,0.358490964,-0.236706902,0.389110992,-0.152897287,0.247679572,0.031710142,0.05644619,-0.271425676,-0.049909522,-0.09369538,-0.119422583,0.048665855,-0.134746655,0.027130925,-0.118359726,16,0.036199519,12.15223234,0.784622106,0.939538812,1433580_at,7.488931101,7.511343073,7.415948763,7.739672218,7.855584795,7.822078128,7.715881461,7.642708252,7.658500877,7.857380319,7.630474096,7.791466241,7.122854868,7.541597952,7.572405044,8.026029336,7.968374451,7.710974022,7.937423302,7.800493209,7.463245823,7.631080693,7.421957976,7.535820083,0.120585631,10.65661214,0.006076046,0.041804444
Agxt2l2,2,Q8R1K4;Q8R1K4-2;F8WHK6;Q8R1K4-3,Alanine--glyoxylate aminotransferase 2-like 2,NA,-0.196481149,-0.380396992,-0.32964029,-0.290896181,0.223828618,-0.379731849,-0.527670916,-0.488515009,-0.153545952,-0.399553938,-0.214124805,-0.351402184,-0.392097567,-0.086376168,-0.313129735,-0.12035194,16,0.039937189,11.48575634,0.785498185,0.939538812,1424745_at,7.869383633,7.757579524,8.084580533,8.141188515,8.061593054,8.026968817,8.031998019,8.276290114,7.912560604,7.757328901,8.109759418,7.756717977,7.863959185,7.847978726,7.891309124,8.022188819,8.211379643,8.299242789,8.075622791,8.332202084,8.06135802,7.735129071,7.850006252,7.886639052,0.124217675,10.56663951,0.00046606,0.006660262
Nudt19,2,P11930,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",NA,-0.035483152,0.260532059,-0.027578727,0.057842107,-0.010206943,0.124754659,-0.157561176,0.440361355,0.461501567,0.392288569,0.058938774,0.649118086,0.103735902,0.292422202,0.285407178,0.177767489,16,0.039211753,1.129824274,0.786838604,0.940039033,1434216_a_at,9.296980273,9.087340134,9.326600681,9.381131228,9.547244775,9.505733287,9.737154843,9.857766065,9.470708355,9.376040964,9.806317041,9.667589466,9.061616356,9.352991755,9.361501562,9.587371307,9.606448208,9.660977199,9.669230715,9.6949456,9.390117547,9.20576739,9.133670141,9.105374777,0.142395095,11.90567375,0.002834243,0.024269172
Aifm2,2,Q8BUE4;Q8BUE4-2,Apoptosis-inducing factor 2,17.33,0.141239165,0.174898238,0.184227853,0.220748686,0.269790472,0.201791845,0.238493445,0.390188314,0.293924816,0.420723289,0.217004411,0.63612247,0.124188489,0.169339026,0.214742411,0.242720677,16,0.02647451,5.406032429,0.787025134,0.940039033,1431143_x_at,7.039232737,6.7013671,6.71690778,7.061308597,7.54102731,7.64074081,7.56483719,7.286238503,7.396505083,7.193666186,7.022594023,6.93538133,6.522050741,6.619917728,6.851648613,6.931423863,7.528350637,7.270251014,7.563528304,7.305681788,7.396267264,7.334144372,7.201617976,7.174820973,0.251054477,12.93521638,1.63E-06,0.000113672
Plxnb2,2,B2RXS4;E9Q832;E9PY77;Q3UH93,Plexin-B2,10.8,0.049710767,-0.026587622,0.155839346,0.1009172,-0.144699025,0.625066254,0.099540826,0.246395464,0.082026023,NA,0.26864295,-0.021053252,0.262313239,0.107274813,-0.010923027,0.017344044,15,0.049027655,14.63143112,0.743256035,0.940530542,1416683_at,9.928666993,9.907720837,9.923676524,10.0022093,9.897409084,9.814091424,9.863062077,9.514264634,9.782837797,9.906336123,10.03961492,10.01164549,10.22528281,10.11152254,10.25076873,10.23662853,9.986161057,10.06417063,9.96468274,9.744955154,9.850151291,10.01591903,10.03609154,10.05917802,0.099803319,2.049516519,0.003574791,0.028596425
Itgal,1,D3Z627;P24063;E9Q5M7;E9QNL8;D3YW95;E9PVW3,Integrin alpha-L,NA,0.139887382,0.582295981,-0.014926544,0.143548077,-0.049630768,0.09492642,0.18972966,0.066865524,0.073575429,0.00570993,-0.050188223,NA,0.280299604,0.261327265,0.164334583,0.334425312,15,0.037023286,20.36034075,0.697060893,0.940530542,1435560_at,7.72268421,7.879027488,7.865182676,7.615958233,7.819923129,7.926657294,8.670544115,8.043869602,8.8461298,8.284088053,8.991897612,8.585362719,7.922470017,7.775606227,7.801656437,7.452957306,7.844244557,7.706623412,7.31022115,7.659392549,8.056317668,8.091144924,7.908109815,8.019517111,0.252212483,18.44572137,0.014492119,0.077213119
Enpp1,2,P06802;G3X9S2;P06802-2;E9QQ26,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase,NA,NA,-0.211136827,-0.436694888,-0.406101238,-0.157819839,-0.316493338,-0.197739606,-0.140909507,-0.206768235,-0.03801469,-0.180402507,-0.064193062,-0.331017236,-0.116897018,-0.058662839,-0.340049473,15,0.025335058,20.98129341,0.728652235,0.940530542,1419276_at,7.252566893,6.853162641,7.174313067,7.567358493,7.751792169,7.464865083,8.02990664,7.904187063,7.528121572,7.468496244,6.837009481,7.439330662,6.833495905,7.133686131,6.985665165,7.609210501,7.762539943,7.260795025,7.764734042,7.55959355,7.395216251,7.164338824,7.075467092,6.494365567,0.277758035,11.27919794,5.28E-05,0.001414635
Ppic,2,P30412,Peptidyl-prolyl cis-trans isomerase C,12.69,-0.395391894,-0.243425362,-0.253021096,-0.340733161,-0.621711977,-0.327802315,-0.125254339,-0.325040955,-0.398240905,-0.491083454,-0.826680675,-0.295840551,-0.549324164,-0.152767519,NA,-0.737254104,15,0.044290428,17.21213053,0.746896909,0.940530542,1416498_at,6.156070928,6.314805979,6.18307533,6.422435548,6.529019185,6.436356249,6.815080805,6.417419465,6.856019497,6.382090261,6.036786739,6.281897478,6.297491499,6.311465593,6.217855997,6.266154771,6.503493291,6.520246215,6.753890836,6.553115526,7.028452825,6.260068594,6.079462056,6.455554889,0.171951862,12.68398386,0.001072746,0.012188698
Cox7a2,1,P48771,"Cytochrome c oxidase subunit 7A2, mitochondrial",71.33,0.442535992,0.142624069,0.402359183,0.139601284,0.445165604,0.456325956,0.312312189,0.468231793,0.358916447,0.373738437,0.563454346,0.923741925,0.127147606,NA,0.457732043,0.079721946,15,0.052916456,9.170892547,0.744420508,0.940530542,1416971_at,12.41982661,12.52442538,12.42489582,12.39814626,12.45606127,12.38253174,12.30299955,12.34417738,12.45094481,12.31476697,12.34623641,12.30093413,12.42653452,12.36641192,12.32981402,12.33277298,12.37539976,12.39441105,12.53147426,12.44227903,12.4892963,12.48998572,12.48146797,12.62660712,0.017702896,19.89946383,0.616237569,0.78021814
Cnn1,1,Q08091;Q08091-2,Calponin-1,NA,0.047532236,0.434441816,0.170134207,0.079173173,-0.54912698,0.226493093,0.128913374,0.308805333,0.012242571,NA,0.352381555,0.227590668,0.009887411,0.179367617,0.262278632,-0.477262849,15,0.061865523,3.739078572,0.699182519,0.940530542,1417917_at,4.008103779,3.93247236,4.186222607,3.911363686,3.937095,4.001885577,4.203461481,4.249695371,3.968772336,4.271698751,4.075168415,4.303235762,4.216125929,3.870186984,4.187929444,3.970583828,3.985450764,4.372340543,4.328681784,4.15105669,4.035108041,3.943489878,4.031172821,3.923314457,0.045544324,14.02632482,0.343684278,0.570647743
Slc25a44,2,Q3TMC4;Q8BGF9;Q3TNN4;E9Q4H8,Solute carrier family 25 member 44,NA,-0.111565545,-0.030971642,0.12337108,-0.04082231,-0.116763971,0.076812779,0.171011038,0.474913357,-0.043484498,0.02047214,0.02406172,0.225767463,NA,0.077741248,-0.573471479,-0.40315863,15,0.031970001,7.799973154,0.748283733,0.940530542,1436909_at,8.234612059,8.07941416,7.813028177,7.603586106,7.975777906,7.857824386,8.084861818,8.527340954,8.037381482,8.275531496,8.311713151,7.908170222,8.043286675,8.202929218,7.764253928,7.809911135,7.903176442,8.295474584,8.291522316,8.682141322,8.389253784,8.368782301,8.138935034,8.35024636,0.178290512,16.8212452,0.000541007,0.0073805
Cmpk2,2,Q3U5Q7,"UMP-CMP kinase 2, mitochondrial",NA,-0.724737573,-0.135797512,-1.003386356,-0.735522177,-0.217106608,-0.913798965,-0.914641057,-0.536351358,-0.645424989,NA,-1.276853945,-0.994362489,-0.678252231,-0.311503115,-0.775092694,-0.60767356,15,0.049950045,18.86554629,0.71134138,0.940530542,1450484_a_at,7.44509787,7.485660391,7.441354113,7.466939354,6.553564492,6.728342175,7.383954689,6.787419214,7.574915949,7.693084285,8.659577083,8.717860927,7.366653153,7.350560915,7.229080164,6.968260359,6.745662942,6.324450353,7.186600362,6.977864128,7.697924261,6.901232115,8.072019419,9.077726145,0.561419953,21.37565286,9.21E-05,0.002082449
Rps15,2,Q3UXS6,,198.835,-0.016211033,0.057016402,0.044999728,0.11990225,0.046801821,0.063906737,0.125305315,0.045014612,0.204665261,0.127919863,NA,0.122224345,0.114613062,0.044240841,0.18590081,0.221488616,15,0.016388435,20.2394181,0.7074933,0.940530542,1416089_at,12.50269452,12.4282804,12.42950136,12.51281724,12.46840373,12.52918354,12.46353599,12.52387868,12.55190746,12.50211452,12.52262545,12.44016727,12.4921211,12.40020595,12.37672938,12.4513962,12.38109931,12.48324551,12.52160417,12.45437659,12.56177433,12.59347641,12.48537456,12.64158301,0.037959488,17.21424392,0.006533375,0.044031941
Gapvd1,2,Q6PAR5-4;Q6PAR5;Q6PAR5-6;Q6PAR5-2;Q6PAR5-5;F7ADQ2;F7ADT6;Q6PAR5-3;E9Q0D1;F6X819;F7ADS7,GTPase-activating protein and VPS9 domain-containing protein 1,52.02,0.216132702,0.069239958,0.134207847,0.158413261,0.128692535,0.236741415,0.144377001,0.280317125,0.114300699,0.124864773,0.504611826,0.168155179,0.295446703,0.086231666,0.652810597,NA,15,0.038275361,17.64214493,0.729232466,0.940530542,1429454_at,9.307946052,9.292732273,9.363218069,9.476484705,9.629901642,9.575005342,9.583125872,9.473755354,9.537150318,9.45451861,9.195691855,9.219032511,9.441230852,9.371986685,9.37276067,9.472465718,9.521245143,9.550066232,9.364700593,9.368884992,9.332605624,9.345655951,9.362656802,9.41741125,0.077512506,9.891336731,0.000619496,0.008084194
Wdr91,2,Q7TMQ7;D3Z101,WD repeat-containing protein 91,NA,0.731134479,2.76945265,0.753044735,0.734851192,0.688194659,3.01100636,1.061932558,3.070481663,0.779744349,0.177930686,0.531239452,NA,0.7576231,0.876492714,0.692641425,0.200299264,15,0.303193348,18.95483841,0.739787294,0.940530542,1456181_at,7.371322709,7.268958604,6.830974769,7.263444109,6.863568131,7.060453162,6.348640768,6.582479073,6.769795126,6.76993736,6.667546172,7.503275597,7.383329255,7.25635251,7.226562467,7.420531997,7.052415744,6.697630008,6.611283194,6.788472767,6.719052886,7.185795289,7.279681111,7.163316884,0.230195425,1.249226353,7.32E-05,0.001779365
Htatsf1,2,Q8BGC0;Q8BGC0-2,HIV Tat-specific factor 1 homolog,49.77,-0.202135581,-0.096396804,-0.303108551,0.047368233,-0.079838881,-0.110764122,-0.171334947,-0.091530593,0.077269328,-0.078473209,-0.103799743,-0.018491749,-0.043064479,0.006738672,-0.015782997,NA,15,0.018977195,14.13847385,0.730234811,0.940530542,1431058_at,3.856128907,4.038533584,3.846712035,4.168356263,4.187777012,4.421013597,4.226411495,4.349665952,3.912969477,3.944306364,3.678257547,3.635425225,3.817124561,3.867885775,4.030603037,4.145342375,4.206200894,3.955668688,3.955075044,4.128288227,3.840044273,4.219679639,3.743805722,3.940481414,0.14076525,10.01433084,0.000624676,0.008128536
Mrpl22,2,Q8BU88,"39S ribosomal protein L22, mitochondrial",40.87,-0.128689329,0.00154451,0.124094149,-0.088955682,0.173465749,-0.159112461,0.184965683,0.074638546,-0.019061365,NA,0.284791908,-0.071488106,0.210529476,-0.008056555,0.057691944,-0.076148597,15,0.031201294,9.682817471,0.704951551,0.940530542,1435995_at,10.2474283,10.18119493,10.35724209,10.21633826,10.01287095,9.906854279,9.992152486,9.987398167,10.05475592,10.05456245,10.28589258,10.06943199,10.21103563,10.08722181,10.13856122,10.11554859,10.03401989,10.01632416,10.07600162,10.01158543,10.1715969,10.25085138,10.15136874,10.45335561,0.086996205,23.37457322,0.001038248,0.011893833
Farp2,1,Q91VS8;D3Z4C0,"FERM, RhoGEF and pleckstrin domain-containing protein 2",5.01,0.401196526,0.062730946,0.467054726,0.457454678,0.54689863,0.379019541,0.44353625,0.571836164,0.359379072,0.559536754,0.217943764,0.521079952,0.498484423,0.154538051,-0.019630756,NA,15,0.038773663,8.434378747,0.720647457,0.940530542,1440799_s_at,7.512303606,7.264321687,7.527001185,7.71110653,7.953634395,7.984034918,7.791505088,7.723005644,7.152651304,7.549682712,7.475106816,7.578150937,7.723318606,7.827081824,8.019320829,7.984576344,8.289390309,7.70259084,7.81583647,7.726187936,7.443949285,7.896399891,8.030298509,7.911704106,0.104398287,7.639012302,0.144027698,0.34664567
Mrpl54,1,Q9CPW3,"39S ribosomal protein L54, mitochondrial",21.95,0.553426147,0.077314991,0.298122742,0.026513623,0.41858126,0.127431244,0.188019389,0.374430247,0.522612795,0.292846311,0.458366221,NA,0.10942101,0.623665158,0.520769439,0.068105187,15,0.046164462,21.29009022,0.716809216,0.940530542,1448699_at,8.205456746,8.101140365,8.179593202,8.193912124,8.147454033,8.13186341,7.953599354,8.186306629,8.325946832,8.171905737,8.130795097,8.006823873,8.271033725,8.224003648,8.15119804,8.160570695,8.168080615,8.015851315,8.330110589,8.432997194,8.483594488,8.482942981,8.284618274,8.697731172,0.077160354,18.71030859,0.096811072,0.272585601
Denr,2,Q9CQJ6;E9Q0G1,Density-regulated protein,16.54,0.094017626,0.208144263,0.187805748,0.108503042,NA,0.330301948,0.104961121,-0.041803688,0.2844053,0.086752489,0.01746086,0.123795446,0.075140001,0.159250773,-0.046421211,0.000317428,15,0.020642205,8.580931257,0.745413326,0.940530542,1420368_at,9.380857818,9.3123317,9.279735141,9.430844066,9.514359188,9.663738353,9.59357006,9.613538075,9.563575004,9.447449544,9.568040265,9.504978368,9.136727439,9.268238712,9.142896768,9.470741437,9.616007518,9.58450119,9.654136919,9.677210841,9.601249123,9.606565468,9.493458688,9.526674745,0.121448199,13.79178047,4.50E-06,0.00023958
2610029I01Rik,1,Q9D0B5,Sulfurtransferase,71.49,0.451050508,0.193931711,0.472889618,0.159846992,0.30789423,-0.064055064,0.165288784,-0.003890027,NA,-0.252173413,0.524271756,0.17062127,0.489909023,-0.041242982,0.190552627,0.506250206,15,0.051403692,5.791863351,0.74622298,0.940530542,1428897_at,9.111949205,8.914593497,8.865326922,9.049075072,8.686747341,8.770136365,8.951151937,9.134817536,8.835350981,8.85754044,9.107018927,8.58060125,9.070261272,9.031706391,9.196126802,8.979793473,9.134568496,9.174119016,9.263360389,9.25261462,9.07410602,8.642188799,8.876195224,8.960030956,0.045652769,9.361082848,0.502147858,0.699251901
Nol7,1,Q9D7Z3;Q9D7Z3-2,Nucleolar protein 7,13.54,-0.162596766,-0.002018361,-0.240863823,-0.033229161,-0.122208862,0.045312326,-0.114500293,-0.103128316,-0.081339627,0.14357995,0.027527902,-0.032665112,-0.081475982,-0.063640993,-0.140124224,NA,15,0.022619336,6.252953325,0.710460896,0.940530542,1420485_at,6.783251175,6.7853051,6.440499594,6.809748408,6.741558824,6.396104121,6.286865732,6.565191105,6.47762096,6.508642988,7.166934709,6.25292988,6.331719734,6.574642526,6.417421491,6.851002174,6.594087228,6.417804714,6.558705539,6.448527116,6.39787828,5.873955794,6.121555597,6.045845573,0.087170483,5.80030972,0.210537688,0.433978988
Mltk,1,Q9ESL4;Q9ESL4-2;Q9ESL4-3;A2ASW6,Mitogen-activated protein kinase kinase kinase MLT,36.37,-0.146655222,0.469289978,-0.350497247,-0.146133829,-0.017066724,0.177408521,-0.000144262,-0.115565996,-0.271545198,NA,-0.166715445,0.148432837,0.040289186,-0.035060797,-0.0614306,-0.192446694,15,0.034855249,12.56782756,0.729376717,0.940530542,1418943_at,5.772564797,5.605981009,5.952959122,6.256172126,6.166317954,6.208072605,5.721816058,6.078158872,5.649290824,5.559671423,6.177352097,5.497512545,6.150877873,6.193177487,6.447565633,6.429510584,6.244766895,5.768331428,6.208522336,6.001344931,5.600765263,5.890049998,5.634006309,5.980387265,0.167506124,6.538537414,0.008622575,0.05378746
Mdm1,1,B2RPU6;Q9D067;Q9D067-2;E9PW14;E9Q0B1;Q9D067-4;Q9D067-3,Nuclear protein MDM1,NA,NA,-0.967463758,-0.366811773,-0.694657366,NA,-0.503552276,-0.501311749,NA,NA,NA,NA,-1.222186307,NA,NA,NA,NA,6,0.094776719,19.09594317,0.771601914,0.940585329,1445709_at,5.276264946,5.425003685,5.312823631,5.034438415,4.982326683,4.984403761,5.177830095,5.169615829,5.100805137,5.395121603,5.138496435,5.288447666,5.027413237,5.278339907,5.186666267,5.095575145,4.957152944,5.190759635,5.175256735,5.230000936,4.978434569,5.245248226,5.050781826,5.291866425,0.057742557,22.35431811,0.099319623,0.276883071
Ube2i,2,P63280;G3UYP0;Q8CFZ0,SUMO-conjugating enzyme UBC9,72.85,-0.329525485,-0.253021096,-0.45206823,-0.291249913,-0.140255134,-0.461423785,-0.401193551,-0.444242994,-0.356031095,-0.487280529,-0.332736572,-0.528371278,-0.4760187,-0.155101558,-0.293252756,-0.436268465,16,0.023362842,14.26689249,0.789621232,0.940705204,1429545_at,5.196889046,5.652552186,5.320748433,5.112379233,5.010617281,4.904369063,5.165163407,4.84081705,4.895248788,5.153180754,5.21818217,5.47421437,5.404722199,5.276975683,5.182983945,5.407293365,5.224301049,5.257559713,4.973549596,5.319173439,4.906424999,5.246391861,5.099798335,5.116268853,0.119535011,1.572673708,0.005457493,0.038640251
Hnrnph1,1,Q8C2Q7;O35737,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",103.48,-0.121148056,-0.131457785,-0.21200896,-0.314638527,-0.475811237,-0.122606463,-0.033652052,-0.214497868,-0.329755086,-0.070526721,-0.416947805,-0.08827731,-0.181929438,-0.074505436,-0.137896932,-0.42932137,16,0.025459277,18.43266296,0.788903779,0.940705204,1415872_at,9.607598499,10.28560988,9.407629867,9.903840562,10.04507109,10.10865001,9.522388189,9.968904191,10.42432855,9.949075267,9.927310824,9.931385911,9.807413576,9.503483755,9.723746103,9.956979777,10.16036486,9.923279312,10.08992981,10.2321064,9.96909669,9.493317849,9.659155402,9.587143899,0.110410745,12.17273937,0.117390405,0.306496738
Ppp2r4,2,P58389;A2AWE9;A2AWF0;B7ZDE0;F6Z6I0,Serine/threonine-protein phosphatase 2A activator,107.33,-0.230571942,-0.239520247,-0.326882449,-0.160016608,-0.149779631,-0.167871708,-0.10353121,0.006289413,-0.069564695,-0.281431197,0.045461207,0.180642459,-0.154971988,-0.137241192,-0.305445279,-0.145873062,16,0.026049739,10.75625368,0.789936703,0.940705204,1439393_x_at,9.425665259,9.418343003,9.565995278,9.278443849,9.212778652,9.373334839,9.341101375,9.215218566,9.424989141,9.462721972,9.656832857,9.810885029,9.845577607,9.696160756,9.721740289,9.49806373,9.291758997,9.54682552,9.582699691,9.559866617,9.504254296,9.724953061,9.649601905,9.839673358,0.122706777,22.12563006,0.002176828,0.020180294
Cpne2,1,P59108,Copine-2,NA,-0.055473336,-0.115033243,0.205962663,-0.122076304,0.165143187,0.0929863,-0.021053252,0.051563614,0.18227852,0.0872735,0.084578533,0.26359428,-0.107420059,0.07187607,0.235653845,-0.178109076,16,0.025316858,10.21770602,0.789948998,0.940705204,1424831_at,6.199814467,6.388868224,6.662328004,6.37714408,6.725103203,6.73937427,6.545334875,6.282611943,6.537637809,6.578687806,6.356633335,6.666961396,6.39293089,6.58499903,6.48933775,6.554993346,6.593549376,6.664673275,6.792535082,6.369855009,6.771377602,6.563293377,6.784854522,6.316146174,0.057582621,11.32439967,0.239195454,0.465994435
Ube2k,1,P61087;E9Q6W9;D3Z4U3;F8WIC2,Ubiquitin-conjugating enzyme E2 K,73.04,0.00114018,-0.066261442,-0.177726483,-0.122076304,-0.070251922,-0.012783185,-0.054779032,-0.132642643,-0.18497846,-0.275126274,-0.123268887,-0.084472517,-0.201131967,-0.202637126,-0.098823768,-0.253142153,16,0.014233637,14.70304031,0.788516869,0.940705204,1443148_at,4.600201639,4.932002648,4.714371018,4.823718041,4.77827375,5.045340612,4.765074468,4.910677126,4.897321295,4.892192293,5.129777856,4.917675645,4.615339201,4.655447738,4.766809768,4.834981033,5.045340612,4.670677541,4.758802674,4.980513623,4.842761166,4.827479961,5.135725514,4.930589764,0.05491609,16.50581552,0.183716403,0.401487025
Fabp5,1,Q05816;E9Q964,"Fatty acid-binding protein, epidermal",97.08,-1.491750501,-1.420994335,-1.932061171,-1.829727808,-1.734395309,-1.738335504,-1.827493874,-1.649799377,-1.922273978,-2.00442948,-2.276943251,-1.661384776,-1.964065877,-1.77589336,-2.606205313,-2.344998884,16,0.047815163,6.052980771,0.78906627,0.940705204,1416021_a_at,12.67519557,13.26403031,12.91543735,12.27146697,11.64502396,12.36884952,11.71812285,12.53606945,12.44739435,12.08481241,12.06462104,10.50271569,12.30161744,12.15294078,11.84042158,11.26498113,11.56903529,11.65518711,13.15999572,12.54467556,12.79159672,11.19456294,11.16238223,12.86391202,0.019115333,9.464424441,0.978230948,0.989419255
Gars,1,Q9CZD3,Glycine--tRNA ligase,151.3,-0.05338942,-0.00345832,-0.076969476,-0.05338942,-0.056860943,-0.024319679,-0.13422094,-0.16774328,-0.113967146,-0.171719239,-0.166586914,-0.026587622,-0.148738913,-0.047817548,-0.032241931,0.03082556,16,0.01128843,15.71204298,0.789455867,0.940705204,1423784_at,9.278507212,9.245681193,9.38128377,9.10132901,9.104733015,9.122914743,9.197132944,9.403223941,9.178357547,9.156170265,9.276741411,9.019319402,9.212100295,9.20236654,9.20246722,9.063506965,9.121704131,9.120366677,9.127588645,9.218012935,9.130266512,9.06706257,9.047050846,9.096681889,0.006927564,2.553719704,0.946668484,0.972776499
Anp32a,2,O35381;D3Z7M9;D3YYE1;F6UFG6;Q64G17,Acidic leucine-rich nuclear phosphoprotein 32 family member A,411.79,-0.175556536,0.179302271,-0.056444801,-0.010350188,0.170361483,-0.067501049,-0.163369914,-0.233765377,0.055966187,-0.196229326,-0.141301988,-0.086104371,0.024032381,-0.23511432,0.068074938,0.012489941,16,0.022976828,9.122129838,0.790406755,0.940847733,1421918_at,8.927850027,8.798996148,8.719374745,8.90038661,8.190928337,7.835073244,7.998574941,8.28406584,8.524027592,8.634042535,9.064707091,8.636419822,8.840298892,8.897933235,8.734797679,8.853917985,8.205164621,8.153029735,8.293200729,8.424240407,8.62042826,8.540386937,8.728462411,8.685919574,0.236447161,23.5319874,9.90E-06,0.000428843
Ltbp4,1,Q8K4G1;Q8K4G1-3;E9QPS5;Q8K4G1-2;D3Z598;E9Q6B8;E9Q003,Latent-transforming growth factor beta-binding protein 4,NA,NA,-0.983823598,0.139792009,0.083859705,NA,NA,NA,-0.033792989,0.045744121,0.12639151,NA,-0.069289713,NA,NA,NA,NA,7,0.121689389,14.73982744,0.77289576,0.941389499,1436665_a_at,7.06270632,6.997135027,7.246989506,7.157317711,6.898642932,7.216020656,7.258198541,6.826141497,6.919565484,6.92913049,7.475170699,7.302409305,7.728297777,7.441641861,7.706701188,7.749359954,7.012946191,7.553120444,7.160185503,7.380182103,7.206667642,7.386198946,7.334168009,7.095972521,0.085952519,2.448099712,0.333502461,0.561158577
Bnip1,1,Q6QD59;F7C279;B8JJI4,Vesicle transport protein SEC20,22.59,NA,-0.040401515,0.225295157,0.111321035,NA,0.244907329,-0.016068369,-0.014640947,0.302137238,0.398170391,NA,-0.072586047,NA,NA,NA,NA,9,0.052475263,2.300128825,0.770604079,0.94184943,1427908_at,8.061377488,7.922008996,8.104990874,8.232868901,7.991257575,7.849695924,7.905778064,7.926428564,7.916796755,7.857380319,8.095985379,7.747345708,8.008704577,8.008770381,7.895101335,7.951010696,7.849879297,7.970389273,7.817504786,7.69252479,8.092853422,7.871256011,7.903459759,8.040426864,0.04731416,2.400241433,0.15509724,0.362362236
H2-Ab1,1,P14483;P06343;P06344;P06345;E9Q297;P06346;E9Q2L3,"H-2 class II histocompatibility antigen, A beta chain;H-2 class II histocompatibility antigen, A-K beta chain;H-2 class II histocompatibility antigen, A-U beta chain;H-2 class II histocompatibility antigen, A-S beta chain;H-2 class II histocompatibility antigen, A-F beta chain",NA,NA,-0.20614307,0.372598609,-0.062812492,NA,-0.239275826,0.271165221,0.150913469,0.230245184,0.072437244,NA,0.11196013,NA,0.142878908,NA,NA,10,0.039758763,22.99862653,0.858312561,0.941865111,1450648_s_at,8.795037113,9.012563139,9.095420422,9.259780973,9.886247432,9.448564561,10.20801916,9.510879685,9.781075729,9.481216002,10.38043188,8.988913309,9.027327986,8.671206084,8.893746565,9.185285956,9.734178715,9.264810828,8.55930332,8.910335735,8.735440689,9.385272021,9.116472001,9.237974953,0.158671801,13.40298124,0.318260585,0.546231473
Immt,2,E9QLA0;Q8CAQ8-5;Q8CAQ8;Q3TZK4,Mitochondrial inner membrane protein,225.89,0.232396047,NA,0.42575314,0.030088822,0.660953856,0.419622931,0.236095571,0.248399171,0.310003146,NA,0.521059249,NA,-0.438292852,NA,0.270120988,NA,11,0.038830412,1.944051876,0.850216804,0.941906851,1429533_at,7.384316331,7.301070667,7.483229783,7.643009021,7.563194153,7.609850425,7.354742367,7.666909191,7.390443977,7.333809751,7.26187366,7.123159288,7.685798142,7.376367689,7.456077339,7.732032343,7.470904741,7.497695102,7.587009715,7.84108788,7.364191867,6.681602037,7.294124382,7.019308542,0.136659095,8.545360513,0.006644807,0.044569813
